twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
3121575130,asempa947,Fri Mar 27 15:21:14 +0000 2015,False,"Accra, Ghana",41748,1966,2470,37313
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-26 14:38:57,As a ministry we did our bit to help the poor and needy in this covid-19 period - @MustaphaHamid (Minister for Inner Cities &amp; Zongo Dev't) #Ekosiisen,1,5,https://twitter.com/asempa947/status/1265291337097674754
2020-05-26 14:35:08,This year's Ramadan &amp; Eid were really affected by Covid-19 but in all things we give thanks to Allah - @MustaphaHamid (Minister for Inner Cities &amp; Zongo Dev't) #Ekosiisen,1,10,https://twitter.com/asempa947/status/1265290377168371713
2020-05-21 14:21:23,The Covid-19 cases would blow out of proportion if the @ECGhanaOfficial goes ahead with the new voter register - Elvis Afriyie Ankrah (Director of Elections-@OfficialNDCGh) #NDCMediabriefing #Ekosiisen,0,6,https://twitter.com/asempa947/status/1263474976746876930
2020-05-19 16:50:00,The presidential directives on covid-19 permits us to carry out our mandate subject to observing the protocols - Prof. Ken Agyemang Attafuah (CEO-NIA) #Ekosiisen,4,10,https://twitter.com/asempa947/status/1262787603318833154
2020-05-11 16:28:39,Our focus would emphasize on digital campaigning due to covid-19 - John Boadu (NPP General Secretary) #Ekosiisen,3,7,https://twitter.com/asempa947/status/1259883127134134273
2020-05-11 15:46:49,I don't foresee covid-19 putting election 2020 on-hold. With what we have done so far shows things would be okay soon - John Boadu (NPP General Secretary) #Ekosiisen,3,11,https://twitter.com/asempa947/status/1259872598567137281
2020-05-11 15:44:07,Gov't pro-activeness has really helped the covid-19 fight - John Boadu (NPP General Secretary) #Ekosiisen,2,3,https://twitter.com/asempa947/status/1259871919303806977
2020-05-11 15:20:33,Our Flagbearer &amp; Running-mate would have been ready by May 2 if not for covid-19 - John Boadu (NPP General Secretary) #Ekosiisen,2,5,https://twitter.com/asempa947/status/1259865986964078592
2020-05-11 15:18:34,Covid-19 has really affected our plans as a party. We would have been done with most of our activities by now - John Boadu (NPP General Secretary) #Ekosiisen,2,7,https://twitter.com/asempa947/status/1259865490945687552
2020-05-11 14:43:39,The market women would be arraigned before court tomorrow over not adhering to the covid-19 measures of social distancing &amp; public gathering - Albert Sore reports from Bolga. #Ekosiisen,1,3,https://twitter.com/asempa947/status/1259856701337022469
2020-05-11 09:02:27,"I also commend the COVID-19 task force, they have a yeomans job
(Dr Seth Appiah)
@moshoosho @iamqueenster @immortalacheamp @mavisamanor5 @wallacepapa1 @KegyiwaNankasA 
#ultimatesportsshow https://t.co/qqu2CxqpS8",0,0,https://twitter.com/asempa947/status/1259770837374246914
2020-05-09 06:52:24,People of the Bono region are upbeat after first case of covid-19 is reported in the region - Kwasi Donyina reports. #Kukrantumi,1,7,https://twitter.com/asempa947/status/1259013333291851778
2020-05-09 06:50:52,The first recorded case of covid-19 in the Bono region is a Togolese who entered through illegal means - Kwasi Donyina reports. #Kukrantumi,1,6,https://twitter.com/asempa947/status/1259012947751337985
2020-05-09 06:41:36,People of Obuasi are not adhering to the measures to fight covid-19 - Isaac Normenyo reports. #Kukurantumi,1,5,https://twitter.com/asempa947/status/1259010615093473281
2020-05-09 06:38:31,"Our reporter in the Adansi area, Isaac Normenyo joins us on the line with updates on the covid-19 cases in the areas. #Kukurantumi",2,5,https://twitter.com/asempa947/status/1259009840296480768
2020-05-08 15:50:36,Our figures of covid-19 could have been lower if better plans were put in place earlier - Amb. Victor Smith (NDC Stalwart) #Ekosiisen,1,6,https://twitter.com/asempa947/status/1258786389333868544
2020-05-07 17:29:51,"Bundesliga is making news for restarting while COVID-19 is still raging. 🇩🇪

But did you know that many African leagues are also planning to do same? 🌍

#JoySports 

https://t.co/o8LO9jNpGq",1,9,https://twitter.com/asempa947/status/1258448976552112129
2020-05-07 17:22:26,"It is sad not to see Africa supporting the research efforts for the covid-19 vaccine. African leaders should be supporting financially - @S_OkudzetoAblak
 (MP-North Tongu). #Ekosiisen",3,14,https://twitter.com/asempa947/status/1258447108308447237
2020-05-07 17:13:56,I laud the Africa Union for supporting Madagascar in the covid-19 cure - @S_OkudzetoAblak (MP-North Tongu). #Ekosiisen,2,4,https://twitter.com/asempa947/status/1258444969653809152
2020-05-07 17:12:15,I urge African leaders to take the Madagascar cure for covid-19 seriously. It can help - @S_OkudzetoAblak (MP-North Tongu). #Ekosiisen,1,4,https://twitter.com/asempa947/status/1258444547287285762
2020-05-07 16:58:31,Ghanaians stranded outside of this country due to the covid-19 measures is another worry. They are really suffering out there -  @S_OkudzetoAblak (MP-North Tongu). #Ekosiisen,2,8,https://twitter.com/asempa947/status/1258441091709382656
2020-05-07 16:56:37,People should know that the day of reckoning would come. Every penny in this covid-19 period would be accounted for -  @S_OkudzetoAblak (MP-North Tongu). #Ekosiisen,3,7,https://twitter.com/asempa947/status/1258440614464675840
2020-05-07 16:54:48,Ghana not doping well with the management of this covid-19 issues -  @S_OkudzetoAblak (MP-North Tongu). #Ekosiisen,1,4,https://twitter.com/asempa947/status/1258440155087732738
2020-05-07 15:57:50,There are NCCE and ISD offices in my district so we use our party pick ups to educate people on covid-19. The party pick ups have been branded with covid-19 - @S_OkudzetoAblak (MP-North Tongu). #Ekosiisen,1,5,https://twitter.com/asempa947/status/1258425819443101697
2020-05-07 15:50:18,We've had about 20 suspected cases of covid-19 in the North Tongu constituency - @S_OkudzetoAblak reveals. #Ekosiisen,3,3,https://twitter.com/asempa947/status/1258423923173199877
2020-05-06 16:09:12,Madagascar would need help in order for their covid-19 cure be accepted. All drugs in the world go through world class rigorous process - Prof. Alex Duodu (CEO-GSA) #Ekosiisen,3,7,https://twitter.com/asempa947/status/1258066294005432328
2020-05-06 16:01:56,We have the capacity to get the covid-19 vaccine or drug. We have done it before - Prof. Alex Duodu (CEO-GSA) #Ekosiisen,2,5,https://twitter.com/asempa947/status/1258064463254740997
2020-05-06 15:40:27,"In this covid-19 period, Ghanaians are realizing it is about the nation &amp; not any individual - Prof. Alex Duodu (CEO-GSA) #Ekosiisen",1,6,https://twitter.com/asempa947/status/1258059056759128065
2020-05-05 18:58:51,Our morbidity rate of covid-19 is 0.12 so we are doing very well - Dr. Bernard Oko Boye (Deputy Health Minister) #Ekosiisen,2,8,https://twitter.com/asempa947/status/1257746596529348608
2020-05-05 18:17:11,Vietnam is one of the countries doing well with the management of covid-19 but its measures are too strict. We cannot practice that here - Dr. Bernard Oko Boye (Deputy Health Minister) #Ekosiisen,3,9,https://twitter.com/asempa947/status/1257736111021006855
2020-05-05 17:54:09,Ghana's case of covid-19 infections is encouraging - Dr. Bernard Oko Boye (Deputy Health Minister) #Ekosiisen,1,3,https://twitter.com/asempa947/status/1257730315629604864
2020-05-05 16:47:22,Isn't businesses collapsing in this covid-19 period? Is this the competence @MBawumia is offering? - John Jinapor (Former Deputy Power Minister) #Ekosiisen,1,5,https://twitter.com/asempa947/status/1257713508663341057
2020-05-05 16:24:11,During the dumsor era people died &amp; in this covid-19 period it is about human lives - Dr. Gideon Buako (Special Aide to the Vice President) #Ekosiisen,3,7,https://twitter.com/asempa947/status/1257707676387233795
2020-05-05 16:23:12,Striking a difference between dumsor and covid-19 is immaterial. Both are crisis - Dr. Gideon Buako (Special Aide to the Vice President) to NDC. #Ekosiisen,4,8,https://twitter.com/asempa947/status/1257707428327632898
2020-05-05 16:20:02,@JDMahama always trying his best to dent the efforts of Gov't in this covid-19 period. Gov't also has the responsibility to protect the people - Dr. Gideon Buako (Special Aide to the Vice President) #Ekosiisen,0,2,https://twitter.com/asempa947/status/1257706629543481350
2020-05-05 16:04:07,"Special Aide to the Vice President, Dr. Gideon Buako and MP for Yapei/Kusawgu, Hon. John Jinapor join us in the studio for a COVID-19 debate on the economy. Your thoughts are welcome. #Ekosiisen https://t.co/6gP93Ygv9d",4,17,https://twitter.com/asempa947/status/1257702625862090752
2020-05-05 14:54:29,Level 2 hospital at Burma Camp was donated by the US to help us in this covid-19 period - Hon. Dominic Nitiwul (Defence Minister) #Ekosiisen,2,7,https://twitter.com/asempa947/status/1257685102982725633
2020-05-05 14:52:16,The Ghana Armed Forces have really done excellent job in this covid-19 period. The sacrifices are very commendable - Hon. Dominic Nitiwul (Defence Minister) #Ekosiisen,2,10,https://twitter.com/asempa947/status/1257684542770630659
2020-05-05 14:40:17,We are benefiting a lot from this defence corporation agreement with the US. Even in this covid-19 period we have been assisted - Hon. Dominic Nitiwul (Defence Minister) #Ekosiisen,3,6,https://twitter.com/asempa947/status/1257681529590951939
2020-05-04 15:43:38,We thank all companies erecting billboards to help fight covid-19 but ask them to come to us to agree on imaging &amp; messaging - @konkrumah (Information Minister) #Ekosiisen,1,6,https://twitter.com/asempa947/status/1257335084421652481
2020-05-04 15:13:31,@NAkufoAddo borrowing to solve issues under this covid-19 period. So what is @MBawumia problem? - John Jinapor (MP-Yapei/Kusawgu) #Ekosiisen,0,2,https://twitter.com/asempa947/status/1257327503087108097
2020-05-04 15:03:43,Where in this world have you seen opposition parties campaigning in this covid-19 period? It is only @JDMahama &amp; his group - Dr. Gideon Buako (Spokesperson for the Vice President) #Ekosiisen,3,15,https://twitter.com/asempa947/status/1257325038933553152
2020-05-04 15:02:22,@JDMahama is campaigning in this covid-19 period because he doesn't care about Ghanaians. How can he be trusted? - Dr. Gideon Buako (Spokesperson for the Vice President) #Ekosiisen,0,0,https://twitter.com/asempa947/status/1257324696518881283
2020-05-04 14:59:02,Ghana would have been worse if @JDMahama was in power under covid-19 because of his incompetency in managing mere dumsor crises - Dr. Gideon Buako (Spokesperson for the Vice President) #Ekosiisen,2,9,https://twitter.com/asempa947/status/1257323858513637377
2020-05-01 18:23:47,International praise for @NAkufoAddo in this covid-19 is nothing new. It can be arranged anyway - @FelixKwakyeOfo1 (Former Deputy Communications Minister) #Ekosiisen,3,15,https://twitter.com/asempa947/status/1256288222356914188
2020-05-01 17:57:16,Fall-outs from covid-19 not new to us. Revenue shortfalls &amp; crude oil prices fall not new - @FelixKwakyeOfo1 (Former Deputy Communications Minister) #Ekosiisen,1,2,https://twitter.com/asempa947/status/1256281548548190209
2020-05-01 17:31:18,Closure of the borders to stop covid-19 spread came too late - @FelixKwakyeOfo1 (Former Deputy Communications Minister) #Ekosiisen,3,5,https://twitter.com/asempa947/status/1256275012459339776
