twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
789424598144147456,stevegoodsell3,Fri Oct 21 11:14:25 +0000 2016,False,,112,166,2436,803
 
created_at,full_text,retweet_count,favorite_count,twitter_url
recover
2020-04-19 22:52:00,"@KalsonAbdi I did these things. And steam inhalation to try and keep airways clear, cough up mucus. Ultimately it didn't prevent the virus, along with a secondary infection, become so severe from me needing to be hospitalised. With help i did recover and possibly those things played a part",2,5,https://twitter.com/stevegoodsell3/status/1252007068279672833
cough
2020-04-19 22:52:00,"@KalsonAbdi I did these things. And steam inhalation to try and keep airways clear, cough up mucus. Ultimately it didn't prevent the virus, along with a secondary infection, become so severe from me needing to be hospitalised. With help i did recover and possibly those things played a part",2,5,https://twitter.com/stevegoodsell3/status/1252007068279672833
2020-03-20 21:46:31,@GouldHoward Steaming helped when the cough was at its worst. I could feel the virus digging deep at that point. As though looking for weakness,1,1,https://twitter.com/stevegoodsell3/status/1241118949355458560
2020-03-19 14:24:09,"@Msg4benjaminYou @bbc5live @Emmabarnett Following start of the cough i quickly started to feel tight chest, pain, and in lower back. I did lots of steaming to get rid of mucus. I have a weakness in chest so that was big concern. I felt better yesterday but poor night. No pain today👍",0,1,https://twitter.com/stevegoodsell3/status/1240645240127619073
2020-03-19 13:56:32,"@Mistyff999 @bbc5live @Emmabarnett Looking back it felt like minor sniffles, then my eyes watered a little. This was earlier last week and i didn't think it could possibly be the virus. But during the night on Friday i couldnt sleep and started feeling very unwell on Saturday. Since then 4 nights of fever, cough",0,0,https://twitter.com/stevegoodsell3/status/1240638287263531014
covid-19
2020-04-19 22:43:39,COVID-19 survivors still breathless and weak after recovering https://t.co/pUJtuUJRvK via @MailOnline,0,0,https://twitter.com/stevegoodsell3/status/1252004966857936904
2020-04-17 21:44:11,"Read and share. Be sad. Never forget these brave, dedicated human beings and their families. And get angry with this disaster of a Government! @BeckettUnite 

Doctors, nurses, porters, volunteers: the UK health workers who have died from Covid-19 https://t.co/g8PumIU29c",0,0,https://twitter.com/stevegoodsell3/status/1251265222192570368
2020-04-14 16:39:16,e-Petition: Fund the funeral costs of all NHS staff who die from or with Covid-19  https://t.co/4MHZGKWU8v via @AssemblyWales,2,2,https://twitter.com/stevegoodsell3/status/1250101327566450694
2020-04-12 19:20:47,Documents contradict UK government stance on Covid-19 'herd immunity' https://t.co/apeBVTIe4T,0,0,https://twitter.com/stevegoodsell3/status/1249417197111345152
2020-04-10 21:15:38,"April 10th Covid-19 Update

Germany reports total of 113,525 cases
UK reports total total of 65,077 cases

Germany reports total of 2,373 deaths
UK reports total of 7,978 deaths

I just don't understand what is going on here. Can you explain please @MattHancock ? https://t.co/CnGO4Dxunk",1,2,https://twitter.com/stevegoodsell3/status/1248721323746091008
