twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
569217952,mms__x,Wed May 02 16:05:11 +0000 2012,False,,495,279,10664,6356
 
created_at,full_text,retweet_count,favorite_count,twitter_url
taste
2020-05-12 14:24:19,"To the nurse who conditioned me to priorities her jobs by giving me sweets, my taste buds and I thank you. #InternationalNursesDay",0,2,https://twitter.com/mms__x/status/1260214223713558528
recovered
2020-04-21 12:21:17,"I am honestly so grateful that my entire family have all recovered from COVID-19, God is Great. Alhumdulillah ❤️",1,20,https://twitter.com/mms__x/status/1252573115529519104
2020-04-14 10:03:51,"@SteveMc26222763 @Superkid16 @Jimmy81448045 It’s not! But tbf I was using a surgical mask, apron and gloves - which was the recommended one at the time. Not the full gowns they now use! Thank you!  All recovered and back to work now :)",0,1,https://twitter.com/mms__x/status/1250001816827449345
2020-04-11 19:35:49,@Cristina190712 @drphiliplee1 Thank you!! I’m all recovered now and back at work!! ☺️☺️,0,0,https://twitter.com/mms__x/status/1249058592340262920
nose
2020-04-18 16:14:45,@H_Hasan6 I will break ur nose if u want ??,0,2,https://twitter.com/mms__x/status/1251544705592107009
Touch
2020-04-16 08:26:10,"‘If NHS workers touch products they have to buy them, they can’t put then back.’ This is disgusting @IcelandFoods @IcelandinUK how is this fair?? https://t.co/tUXjanRf7A",4,7,https://twitter.com/mms__x/status/1250702010321719296
tested positive
2020-04-13 14:28:40,"Day13 since onset of symptoms, dad has still tested positive for COVID and is being told to continue to isolate for 7 further days...",0,4,https://twitter.com/mms__x/status/1249706073180778501
2020-04-11 18:07:28,"@drphiliplee1 I live alone, just worked the weekend over a 2 week period. Didn’t need to go out or leave my house except going to work, which I drive to. Yet I got symptoms and tested positive for COVID 😭",2,3,https://twitter.com/mms__x/status/1249036360033415177
2020-04-05 17:04:27,So do we know yet about getting re-infected with COVID 19 if you’ve tested positive before?,0,2,https://twitter.com/mms__x/status/1246846171609432065
2020-03-27 20:58:41,"So I’ve tested positive for COVID, they REALLY need to start testing more doctors and NHS staff as work is the only place I could have contracted it from #COVID19",29,95,https://twitter.com/mms__x/status/1243643627764682752
positive for Covid
2020-04-13 14:28:40,"Day13 since onset of symptoms, dad has still tested positive for COVID and is being told to continue to isolate for 7 further days...",0,4,https://twitter.com/mms__x/status/1249706073180778501
2020-04-13 11:32:31,"2 weeks after testing positive for COVID, I returned back to work thinking all my symptoms have resolved,but I wasn’t prepared for the extreme fatigue, leading to banging headaches lasting the whole day. I struggled so much this past week,but felt too guilty to take more time off",0,6,https://twitter.com/mms__x/status/1249661740704546816
2020-04-11 18:07:28,"@drphiliplee1 I live alone, just worked the weekend over a 2 week period. Didn’t need to go out or leave my house except going to work, which I drive to. Yet I got symptoms and tested positive for COVID 😭",2,3,https://twitter.com/mms__x/status/1249036360033415177
2020-03-27 20:58:41,"So I’ve tested positive for COVID, they REALLY need to start testing more doctors and NHS staff as work is the only place I could have contracted it from #COVID19",29,95,https://twitter.com/mms__x/status/1243643627764682752
headaches
2020-04-13 11:32:31,"2 weeks after testing positive for COVID, I returned back to work thinking all my symptoms have resolved,but I wasn’t prepared for the extreme fatigue, leading to banging headaches lasting the whole day. I struggled so much this past week,but felt too guilty to take more time off",0,6,https://twitter.com/mms__x/status/1249661740704546816
cough
2020-03-18 18:16:44,Someone sent me their cough and is asking if it sounds like the coronavirus cough 😭😭😭,2,29,https://twitter.com/mms__x/status/1240341383237578752
cold
2020-03-18 17:19:14,Why am I still getting texts saying ‘it’s just a cold isn’t it?’ No Dorris. It’s not just a bloody cold.,0,2,https://twitter.com/mms__x/status/1240326911143874561
2020-03-16 11:25:17,"@Mrskamofficial @stonewall007 @ejmc999 @RaymondRabb @ufomemes So why aren’t you shocked they don’t do this on a regular basis, before COVID19 came around. If it’s no worse than the flu or a common cold",0,0,https://twitter.com/mms__x/status/1239513061901373446
2020-03-16 02:04:58,@ejmc999 @Mrskamofficial @RaymondRabb @ufomemes Please don’t compare a common cold to COVID 19 😂😂😂,0,6,https://twitter.com/mms__x/status/1239372053565911041
covid19
2020-03-16 17:50:38,"We were so understaffed this weekend due to COVID19 and doctors going into self isolation, that me as an F1 had to cover for 2 SHO’s. Surely that’s not safe #nhs #covidー19uk",1,3,https://twitter.com/mms__x/status/1239610038647435265
2020-03-16 11:25:17,"@Mrskamofficial @stonewall007 @ejmc999 @RaymondRabb @ufomemes So why aren’t you shocked they don’t do this on a regular basis, before COVID19 came around. If it’s no worse than the flu or a common cold",0,0,https://twitter.com/mms__x/status/1239513061901373446
2020-03-16 01:50:53,"@Mrskamofficial @ejmc999 @RaymondRabb @ufomemes Because MRSA is treatable. There’s a vaccine for flu. COVID19 is a new virus that’s we don’t know how to treat, there are no vaccines, there are many people dying from it, hospitals in different countries are it it’s capacity etc etc",0,1,https://twitter.com/mms__x/status/1239368507600654336
covid-19
2020-03-13 23:14:03,"So healthcare professionals who have had direct contact with a COVID-19 +ve patient have to stay at work until they show signs of the virus, and they’re still won’t test us for it #coronavirus #NHS",2,10,https://twitter.com/mms__x/status/1238604266132123648
red eye
2020-02-12 20:21:51,Am I the only one who doesn’t like this new feathered eyebrow look?,0,2,https://twitter.com/mms__x/status/1227689292014682113
