twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
3249226408,GetBrexit_Done,Tue May 12 23:45:13 +0000 2015,False,Shagging in a restroom,28779,24179,20045,19555
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-28 21:20:10,"After clapping for carers, I really should hold a minute's silence for each person who has died of Covid-19 in the UK, back to back, to reflect upon how my inaction may have contributed to the tragedy, but if I did that, I'd be silent for 42 days &amp; we can't have that, can we?",287,888,https://twitter.com/GetBrexit_Done/status/1266117083286384643
2020-05-25 12:42:02,It wasn't safe for Dominic's child to be in the presence of parents with Covid-19 but it's perfectly safe for kids to return to school. This is because rich kids are much more vulnerable to Covid. No one cares if poor kids are infected.,207,628,https://twitter.com/GetBrexit_Done/status/1264899526697127936
2020-05-22 20:05:14,"Dominic Cummings has explained he was able to stay alert throughout his trip to County Durham while infected with Covid-19 and he managed to control the virus so everything's fine. Of course, if you did the same, you would receive a fine.",467,1396,https://twitter.com/GetBrexit_Done/status/1263923895867932673
2020-05-20 11:47:18,"When I was in hospital with Covid-19 my life was saved by immigrant NHS staff who must pay to access NHS services themselves, even though they pay tax &amp; risk their lives to work for the NHS.

When asked at PMQs I said: ""I do think this is the right way forward... it makes money"".",275,646,https://twitter.com/GetBrexit_Done/status/1263073812305846272
2020-05-13 16:17:07,The Covid-19 national test result data has accidentally gone down the same memory hole as the Russia report. Oops!,184,439,https://twitter.com/GetBrexit_Done/status/1260604999928885248
2020-05-13 16:15:28,I can confirm there is absolutely nothing suspicious about the Covid-19 national test result data going missing. Nothing at all.,409,1194,https://twitter.com/GetBrexit_Done/status/1260604585309343747
2020-05-10 17:19:21,Tonight at 7pm I'm going to announce the second wave of Covid-19,258,1079,https://twitter.com/GetBrexit_Done/status/1259533499331235843
2020-05-08 14:03:04,"On VE day, I will whip up patriotism &amp; glorify the war generation to boost my approval ratings, yet I will scrap free TV licenses for pensioners, tell the elderly to take Covid-19 on the chin &amp; let residents die in care homes without palliative care while new hospitals sit empty.",866,1745,https://twitter.com/GetBrexit_Done/status/1258759326669377541
2020-05-08 09:24:45,"On VE day, the day Britain won a war or something, I encourage you to compare me to Churchill, seeing as our nation is once again at war.

Remember, Covid-19 is just like the Nazis, only this time we invited the Nazis in to kill you because we couldn't be bothered to fight them.",349,1081,https://twitter.com/GetBrexit_Done/status/1258689285882023936
2020-05-07 14:29:37,"When I spoke of 200,000 tests a day, I meant paternity tests, not Covid-19 tests. We need to establish how many illegitimate children I've fathered because apparently I have ""responsibilities"".",263,880,https://twitter.com/GetBrexit_Done/status/1258403620955066368
