twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
19114232,mackaytaggart,Sat Jan 17 16:12:28 +0000 2009,True,Toronto,8045,4700,14646,20531
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-11 22:03:00,"Remembering those in Toronto’s marginalized communities, for whom COVID-19 presents unique and extra dangerous risks. https://t.co/kZDCIYNbhj",3,4,https://twitter.com/mackaytaggart/status/1259967269494497286
2020-04-09 16:01:19,"As of today the United States has now seen more deaths due to COVID-19 in the last 40 days (15,732) than they did homicides in all of 2018 (15,498).",2,6,https://twitter.com/mackaytaggart/status/1248279836579299330
2020-04-01 21:26:09,#BREAKING COVID-19 outbreak reported at a city run longterm care facility in Scarborough. https://t.co/TXhBRZTAqF,1,4,https://twitter.com/mackaytaggart/status/1245462479947341826
2020-03-30 01:42:00,"UPDATE: Toronto Public Health informed me today that they now consider my COVID-19 case “resolved”. I have been symptom free for over two weeks and feel great. Thank you to my friends, family, &amp; colleagues for their support. And especially the incredibly @TOPublicHealth staff.",123,5054,https://twitter.com/mackaytaggart/status/1244439703857836032
2020-03-27 19:05:42,There are so many horrible situations connected to the COVID-19 crisis. This is certainly one of them. https://t.co/j3v1H401Nc,1,0,https://twitter.com/mackaytaggart/status/1243615197320880133
2020-03-24 15:26:09,"I’ve heard this Q asked by a number of friends spending time in self-isolation...Are there any volunteer opportunities, related to the COVID-19 crisis or not, available to people from the confines of their homes? Many have extra time, and extra energy, and are looking to help.",11,46,https://twitter.com/mackaytaggart/status/1242472780895059969
2020-03-24 02:00:09,Thank you to my colleagues at @GlobalNews who had to deal with the frightening impacts of having confirmed COVID-19 cases in their workplace. Especially those who were then sidelined due to mandatory self quarantine. Some who were kept at a distance from their spouses &amp; children.,6,129,https://twitter.com/mackaytaggart/status/1242269943275622400
2020-03-17 15:44:54,“Pretty much everything with a door will be closed” Trudeau talking about the impact of COVID-19 on Parks Canada.,4,5,https://twitter.com/mackaytaggart/status/1239940784364888065
2020-03-13 18:58:27,"Sad, but not surprising. Awful people capitalizing on COVID-19 fears with e-mail phishing scams. Be vigilant! https://t.co/ng7q1einqB",14,12,https://twitter.com/mackaytaggart/status/1238539940583129088
2020-03-12 20:40:56,"Disneyland, in California, is closing on March 14th due to COVID-19 fears. The park will remain closed until the end of the month. No formal word on the state of affairs at Disney World in Florida. https://t.co/iFBEk4IF9D",47,55,https://twitter.com/mackaytaggart/status/1238203343882895380
2020-03-12 20:08:34,LIVE NOW: Ontario officials updating on COVID-19 numbers in the province. https://t.co/v1uVIqwbSz,3,0,https://twitter.com/mackaytaggart/status/1238195199475662850
2020-03-12 12:26:14,"@porterairlines I'm curious why change fees are waived for flights booked in March, but not for flights booked prior to March, but occurring this month, during the height of the COVID-19 concerns?",0,2,https://twitter.com/mackaytaggart/status/1238078847620452353
