twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
357423844,bulldogproud2,Thu Aug 18 10:25:38 +0000 2011,False,"Adelaide, South Australia",224,548,6860,5919
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-05-26 06:09:04,"@AustralianDude @abcnews ... and if we were doing what you wanted, a lot more than 450 would be dying every day from Covid-19 in Australia.",0,82,https://twitter.com/bulldogproud2/status/1265163021388640258
2020-04-26 12:11:14,"@buzz43455555 @PaulBongiorno @SkyNewsAust True, since parents took their children out of schools or schools went on holiday. Coincidence? Hoping it is as I pray no teachers, cleaners, bus drivers, parents etc contract covid-19 as students return.",0,5,https://twitter.com/bulldogproud2/status/1254382528951017472
2020-04-26 10:15:19,"@ACTINOSProject All based on a 'whole' 9 students who tested positive when schools were nearly empty. Meanwhile, 93 students and teachers contract Covid-19 at Marist College in NZ.",0,0,https://twitter.com/bulldogproud2/status/1254353357323374592
2020-04-26 07:58:39,"@TonyHWindsor @JaneCaro The PM says it is safe to go to school based on an NSW study of a 'whole' 9 students who contracted covid-19. Yet, the fact 93 students contracted Covid-19 at Marist College in New Zealand is totally ignored!",0,2,https://twitter.com/bulldogproud2/status/1254318963141431297
2020-04-26 06:44:02,"@MaralynParker @JaneCaro ... not surprisingly, the number of Covid-19 cases fell after parents voted with their feet to not send their children to school. Before then, many in the 20-39 year old age group were infected, the age of school parents.",1,4,https://twitter.com/bulldogproud2/status/1254300184609042438
2020-04-24 10:18:23,@JaneCaro Apparently that magic classroom fairy only works in very few countries in the world: 191 have national closures of schools. Our Covid-19 numbers started going down when numbers at schools decreased. Coincidence?,1,26,https://twitter.com/bulldogproud2/status/1253629350794063872
2020-04-19 05:36:05,@m_larks @r_nd_rgh @RomanaQ @TheIPA 60 of them were still actively employed in connection with schools according to their bio. I would believe that this would suggest there is a risk of Covid-19 being spread within schools.. sadly,0,1,https://twitter.com/bulldogproud2/status/1251746370341335040
2020-04-06 01:05:34,"This explains why our numbers are currently lower than those for other countries... but that Australia will suffer a much more prolonged impact from Covid-19 and our peak will not be until May
#testing #Covid_19 #Herd_Immunity https://t.co/neAUxrDPgZ",0,0,https://twitter.com/bulldogproud2/status/1246967250843611137
2020-04-02 12:14:22,@Barnaba57544474 @DanielAndrewsMP 30 have died in the US this week from treating Covid-19 patients.,0,0,https://twitter.com/bulldogproud2/status/1245686007552282624
2020-04-01 06:46:07,@YOKYOKbeers @hagsHarmer @PATRIOTAUSTRAL1 @RealMarkLatham My nephew just said to tell him I have Covid-19 and would love to meet him. That apparently quickly gets rid of those trolls 😉,0,2,https://twitter.com/bulldogproud2/status/1245241014136131585
2020-04-01 05:12:50,"@YOKYOKbeers @PATRIOTAUSTRAL1 @RealMarkLatham Done. Told me he lives in Adelaide, he would spend the afternoon finding my school and that I would be dead, but not from Covid-19",0,0,https://twitter.com/bulldogproud2/status/1245217536473325568
2020-03-31 02:02:40,"The numbers of Covid-19 carriers in the community are possibly quite high. Without being allowed to test the majority of the community, even those with symptoms, we won't know... and are exposing the community to risk #COVID19Aus #TESTVIRUSNOW https://t.co/CgmCaGQiVK",1,0,https://twitter.com/bulldogproud2/status/1244807291733299202
2020-03-30 00:48:17,"@whereisdaz @margokingston1 Surely, the real test is when we actually allow people in the community displaying symptoms to be tested? Currently, you have to be suffering from 'pneumonia type' symptoms to even be allowed a test. There could be thousands with Covid-19 not being tested at the moment, surely?",0,2,https://twitter.com/bulldogproud2/status/1244426186668650498
