_id,usernameTweet,ID,text,url,nbr_retweet,nbr_favorite,nbr_reply,datetime,is_reply,is_retweet,user_id
1772,___a____k_____,1.28E+18,"Karnataka board conducted exams in between the Coronavirus & after which we have heard that around 40-45 students  tested   positive  within 2-3 days of exam.

I again request you to please don't allow anyone to play with health of residents of Punjab . 

(5/5)",https://twitter.com/___a____k_____/status/1277468822530744322,0,0,0,6/29/2020 0:07,FALSE,FALSE,1.26E+18
124,___moneymakinmd,1.28E+18,Shidddd they on a level Red right now mfs had 9500 people  tested   positive  for that shit in one day but guess what I DONT GIVE A DAMN. Ima live my got damn life you can get that shit anywhere,https://twitter.com/___moneymakinmd/status/1277737212768145410,0,1,1,6/29/2020 17:54,TRUE,FALSE,239096770
1434,___tshego,1.28E+18,Hi  I'd like to nominate my friend @mostlikelykukie  Her birthday was on the 6th of June and we had planned to celebrate as she was turning 22 this morning she  tested   positive  covid and I'd love for her to have this voucher to cheer up  #TakealotBirthdaySale  #takealotbirthday pic.twitter.com/mYVYYjZaxL,https://twitter.com/___tshego/status/1277567998950326272,94,208,4,6/29/2020 6:42,TRUE,FALSE,8.18E+17
3221,__applejaacks,1.28E+18,I really hope those who are traveling are taking their precautions bc I know of some dumb ass people who don’t listen for shit & have  tested   positive  for COVID & are still going to all those places y’all are @,https://twitter.com/__applejaacks/status/1277270763607699458,2,12,0,6/28/2020 11:00,FALSE,FALSE,621689704
2173,__Darkbloom,1.28E+18,"Just got word that my grandma  tested   positive  for COVID. And although I’m not religious, when your grandma asks you to pray for her, you pray. Please keep her in your thoughts.",https://twitter.com/__Darkbloom/status/1277406787784900613,2,7,0,6/28/2020 20:01,FALSE,FALSE,237521789
509,__Kready,1.28E+18,My step dad had it and I know one other person who just  tested   positive .,https://twitter.com/__Kready/status/1277692497460895745,0,0,1,6/29/2020 14:56,TRUE,FALSE,8.19E+17
3854,__mellybelly___,1.28E+18,I’m not against it but wish I can say stop ordering from amazon because thousands of us have  tested   positive  for it and we get cases everyday just to get items and deliver them for y’all because we’re around more people at a warehouse than a restaurant and we don’t get to close  https:// twitter.com/romanmaira__/s tatus/1276635042589048833   …,https://twitter.com/__mellybelly___/status/1277124387108302848,0,2,1,6/28/2020 1:19,FALSE,FALSE,1.01E+18
3197,__PRETTYRed,1.28E+18,One of my staff  tested   positive  for covid & i swear i wanna quit my whole job... i gotta asthmatic child and a high risk mother i dont play about them,https://twitter.com/__PRETTYRed/status/1277273035813388288,0,0,0,6/28/2020 11:09,FALSE,FALSE,216730363
2647,__Reckkk,1.28E+18,Damn  I   tested   positive  ....... for being a demon ,https://twitter.com/__Reckkk/status/1277339039188815872,0,1,0,6/28/2020 15:32,FALSE,FALSE,185533466
76,__runningrebel,1.28E+18,"Can y’all believe UNC is not notifying people when they’ve been in contact with someone who  tested   positive  for COVID-19 if they were 3 feet or more apart and wearing a mask?

I... cannot.",https://twitter.com/__runningrebel/status/1277743179886927874,0,1,1,6/29/2020 18:18,FALSE,FALSE,1902331825
